0.94	91.36	308.62	110.35	496.46
0.67	93.51	308.98	93.68	442.31
0.54	94.23	309.11	81.49	368.13
0.67	94.65	307.14	94.12	268.15
0.52	95.35	308.13	51.91	141.21
0.02	97.39	307.67	10.31	25.00
-0.07	98.25	305.81	0.00	0.00
-0.36	99.05	306.58	0.00	0.00
-0.45	98.98	306.79	0.00	0.00
-0.42	98.65	305.78	0.00	0.00
-0.56	98.75	306.29	0.00	0.00
-0.39	99.05	306.59	0.00	0.00
-0.34	98.88	308.37	0.00	0.00
-0.54	99.09	306.31	0.00	0.00
-0.50	99.04	307.13	0.00	0.00
-0.77	99.42	302.14	0.00	0.00
-0.99	99.47	304.03	0.00	0.00
-0.99	99.00	294.63	0.00	0.00
-1.16	98.22	280.91	0.00	0.00
-1.22	98.69	298.26	0.00	0.00
-1.32	98.86	274.84	0.00	0.00
-1.87	99.19	243.64	0.00	0.00
-2.31	99.87	246.99	0.00	0.00
-2.53	100.00	264.75	0.00	0.00
-2.38	99.87	298.13	0.00	0.00
-2.35	99.22	294.92	0.00	0.00
-2.39	98.63	292.32	0.00	0.00
-2.52	98.30	297.22	0.00	0.00
-2.63	97.75	300.34	0.00	0.00
-2.32	97.74	300.98	0.00	0.00
-2.33	97.74	300.87	0.00	0.00
-2.30	97.35	300.89	0.00	0.00
-2.26	96.79	300.25	0.00	0.00
-2.43	96.93	298.74	0.00	0.00
-2.59	96.31	296.74	0.00	9.09
-2.34	95.79	290.72	10.58	102.90
-2.10	94.42	290.20	53.21	234.94
-1.61	92.52	293.46	95.01	343.70
-1.23	92.90	297.47	118.85	425.08
-0.98	92.46	301.93	137.17	484.74
-0.90	92.20	294.95	217.12	527.80
1.46	82.07	255.91	440.98	557.85
0.68	86.88	283.45	359.19	577.20
0.19	90.75	303.70	263.52	587.25
-0.05	92.12	305.97	276.34	588.70
0.26	91.73	307.55	220.20	581.63
0.65	89.91	308.74	232.81	565.57
1.36	87.24	311.21	221.24	539.38
1.34	87.40	311.28	207.93	501.10
1.30	87.45	310.73	163.89	447.63
1.10	88.67	309.58	83.66	374.39
0.97	89.54	311.48	60.70	275.56
0.61	92.02	310.45	45.57	149.20
0.30	92.16	308.89	16.00	29.25
0.06	93.22	307.98	0.00	0.00
-0.21	94.24	307.02	0.00	0.00
-0.45	95.83	307.06	0.00	0.00
-0.62	96.92	306.31	0.00	0.00
-0.81	95.55	305.92	0.00	0.00
-0.82	95.20	305.78	0.00	0.00
-0.80	95.26	305.45	0.00	0.00
-0.90	95.58	305.34	0.00	0.00
-0.88	96.17	304.88	0.00	0.00
-0.89	96.63	305.07	0.00	0.00
